labels,Energy_dist1_angle0°,Corr_dist1_angle0°,Homogen_dist1_angle0°,Contrast_dist1_angle0°,Energy_dist1_angle45°,Corr_dist1_angle45°,Homogen_dist1_angle45°,Contrast_dist1_angle45°
Normal,0.028684826,0.978364265,0.343780086,146.1457199,0.025015112,0.943135512,0.284385727,377.5477086
Pneumonia,0.024608766,0.972056986,0.275101915,75.67244555,0.023480922,0.969999027,0.256099544,81.19574092
Pneumonia,0.024521459,0.975277327,0.241154084,132.2072389,0.022879503,0.971967268,0.216505102,149.7005168
Tuberkulosis,0.024521459,0.975277327,0.241154084,132.2072389,0.022879503,0.971967268,0.216505102,149.7005168
Pneumonia,0.028052887,0.985601553,0.265951145,80.70359545,0.027348268,0.982675858,0.250798508,97.0845382
Pneumonia,0.0234216,0.978160059,0.262992426,78.15282671,0.022021884,0.976055776,0.239082009,85.48046412
Normal,0.062402547,0.971772034,0.415619466,209.8662316,0.060106266,0.967823319,0.348867235,238.6180699
Normal,0.028594572,0.988362579,0.329407732,72.67238549,0.026154485,0.980369968,0.276788119,121.9040399
Tuberkulosis,0.028594572,0.988362579,0.329407732,72.67238549,0.026154485,0.980369968,0.276788119,121.9040399
Pneumonia,0.024402282,0.982155763,0.299625615,51.8134409,0.023268322,0.979854149,0.276385179,58.36288685
Pneumonia,0.024659545,0.989048058,0.30569745,75.70357543,0.023256854,0.988118474,0.283191978,82.04245008
Tuberkulosis,0.754871836,0.995494487,0.822024595,41.33844491,0.751778009,0.992556237,0.801266011,67.86309799
Normal,0.020995527,0.99241727,0.256583331,55.99359385,0.019257076,0.984502154,0.20817052,113.6612238
Tuberkulosis,0.020995527,0.99241727,0.256583331,55.99359385,0.019257076,0.984502154,0.20817052,113.6612238
Tuberkulosis,0.150273182,0.96708838,0.432474897,209.6995516,0.148371364,0.962954538,0.378724273,235.1072614
Pneumonia,0.030885476,0.980403749,0.299741172,85.05779548,0.028903185,0.979230616,0.27102839,90.18775765
Tuberkulosis,0.030885476,0.980403749,0.299741172,85.05779548,0.028903185,0.979230616,0.27102839,90.18775765
Pneumonia,0.019536501,0.958079601,0.230454432,159.2810498,0.018416998,0.952750131,0.211676487,179.171952
Pneumonia,0.206637496,0.985457856,0.318982186,135.0955317,0.2069108,0.982664089,0.313709257,161.0651732
Tuberkulosis,0.206637496,0.985457856,0.318982186,135.0955317,0.2069108,0.982664089,0.313709257,161.0651732
